trial_id	run_path	giga_image	vrb_image	is_annotated	corrupted	num_same	giga_pos_modes	giga_dir_modes	giga_num_false_positives	vrb_pos_modes	vrb_dir_modes	vrb_num_false_positives
23-12-08-21-09-40_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40/vrb/round_000_trial_000.png	True	False	1.0	3.0	2.0	0.0	3.0	1.0	0.0
23-12-08-21-09-40_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-40/vrb/round_001_trial_000.png	True	False	0.0	0.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-25_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-25	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-25/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-25/vrb/round_000_trial_000.png	True	False	1.0	1.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-41_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41/vrb/round_000_trial_000.png	True	False	1.0	1.0	1.0	0.0	3.0	1.0	0.0
23-12-08-21-09-41_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-41/vrb/round_001_trial_000.png	True	False	1.0	1.0	1.0	0.0	3.0	1.0	0.0
23-12-08-21-09-37_round_000_trial_001	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37/vrb/round_000_trial_000.png	True	False	1.0	1.0	1.0	0.0	3.0	1.0	0.0
23-12-08-21-09-37_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-37/vrb/round_000_trial_001.png	True	False	0.0	0.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-30_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/vrb/round_000_trial_000.png	True	False	0.0	0.0	0.0	0.0	1.0	1.0	0.0
23-12-08-21-09-30_round_002_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/vrb/round_001_trial_000.png	True	False	1.0	2.0	3.0	0.0	3.0	1.0	0.0
23-12-08-21-09-30_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/grasp_images/round_002_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-30/vrb/round_002_trial_000.png	True	False	0.0	0.0	0.0	0.0	1.0	1.0	0.0
23-12-08-21-09-39_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39/vrb/round_000_trial_000.png	True	False	1.0	2.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-39_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-39/vrb/round_001_trial_000.png	True	False	0.0	0.0	0.0	0.0	3.0	1.0	0.0
23-12-08-21-09-38_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/vrb/round_000_trial_000.png	True	False	0.0	0.0	0.0	0.0	3.0	1.0	0.0
23-12-08-21-09-38_round_001_trial_001	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/vrb/round_001_trial_000.png	True	False	0.0	0.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-38_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/grasp_images/round_001_trial_001.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-38/vrb/round_001_trial_001.png	True	False	0.0	0.0	1.0	0.0	1.0	1.0	0.0
23-12-08-21-09-31_round_000_trial_001	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31/vrb/round_000_trial_000.png	True	False	1.0	1.0	1.0	0.0	3.0	1.0	0.0
23-12-08-21-09-31_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-31/vrb/round_000_trial_001.png	True	False	1.0	1.0	1.0	0.0	2.0	1.0	0.0
23-12-08-21-09-36_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36/vrb/round_000_trial_000.png	True	False	1.0	1.0	2.0	0.0	1.0	1.0	0.0
23-12-08-21-09-36_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-36/vrb/round_001_trial_000.png	True	False	1.0	2.0	1.0	0.0	3.0	1.0	0.0
23-12-08-21-09-28_round_001_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28/vrb/round_000_trial_000.png	False	True							
23-12-08-21-09-28_round_000_trial_000	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28/grasp_images/round_001_trial_000.png	/Users/ishangaur/affordance-bench/single_exp/23-12-08-21-09-28/vrb/round_001_trial_000.png	False	True							
